vendor,brand,avg_current_price,avg_price_per_unit,product_count
Galleria,,7.19642109064644,,5538
Loblaws,,6.6570857400722,0.0,4545
Loblaws,34 Degrees,7.67816091954023,0.0,176
Loblaws,4C,5.22949730700179,0.0,563
Loblaws,ACE,5.21857142857143,0.0,14
Loblaws,Allessia,3.0,0.0,331
Loblaws,Arva Flour Mill,10.49,0.0,456
Loblaws,Aurora,4.2852479338843,0.0,492
Loblaws,Betty Crocker,4.39915032679739,0.0,154
Loblaws,Beyond Meat,7.68830188679245,0.0,53
Loblaws,BlueWater Seafoods,8.33762633996937,0.0,661
Loblaws,Bobs Red Mill,8.77861209964413,0.0,282
Loblaws,Burt's Bees,14.0,0.0,30
Loblaws,Carbonaut,9.11075697211155,0.0,1021
Loblaws,Cedar,1.88756097560976,0.0,207
Loblaws,Club House,5.29,0.0,70
Loblaws,Country Harvest,4.20409908735332,0.0,1656
Loblaws,Create A Treat,13.99,0.0,58
Loblaws,Crispy,3.00898876404494,0.0,451
Loblaws,D'Italiano,3.70262127659574,0.0,750
Loblaws,Daiya,10.6936516853933,0.0,360
Loblaws,Dare,5.17016,0.0,381
Loblaws,Dempster,4.61159003397509,0.0,917
Loblaws,Dimpflmeier,4.41041403105233,0.0,1800
Loblaws,Duinkerken,6.96169811320755,0.0,53
Loblaws,Durra,4.99,0.0,151
Loblaws,Farmer's Market,6.72716981132076,0.0,53
Loblaws,Finn Crisp,4.49,0.0,290
Loblaws,Fleischmanns,5.89436241610738,0.0,302
Loblaws,Furlani,5.43854460093897,0.0,218
Loblaws,Gardein,7.40333333333333,0.0,152
Loblaws,General Mills,5.99,0.0,1
Loblaws,Grissol,3.96302631578947,0.0,154
Loblaws,Handfuel,6.99,0.0,1
Loblaws,Heiwa,3.73473684210526,0.0,154
Loblaws,High Liner,9.64617232808616,0.0,1219
Loblaws,Janes,14.2118543046358,0.0,306
Loblaws,Kikkoman,4.49,0.0,106
Loblaws,LA FOURNEE DOREE,6.365,0.0,88
Loblaws,Larabar,2.01164383561644,0.0,148
Loblaws,Leclerc,4.30911111111111,0.0,229
Loblaws,Little Northern Bakehouse,7.74749063670412,0.0,541
Loblaws,Manouch,4.49,0.0,179
Loblaws,Manoucher,4.27851422550053,0.0,981
Loblaws,Marco-Polo,3.79,0.0,58
Loblaws,Mary Macleod's Short Bread,20.5279746835443,0.0,162
Loblaws,Nairn's,5.99,0.0,207
Loblaws,No Name,4.20623603351955,0.0,1479
Loblaws,NotCo,9.99,0.0,53
Loblaws,Nutella,6.15898148148148,0.0,218
Loblaws,ODoughs,6.96151898734177,0.0,160
Loblaws,PC Black Label,3.49,0.0,53
Loblaws,PC Organics,4.53808362369338,0.0,292
Loblaws,Paneriso,7.99,0.0,53
Loblaws,Papadopoulos,2.49,0.0,151
Loblaws,Pastene,4.94973451327434,0.0,460
Loblaws,Pillsbury,5.47275862068966,0.0,29
Loblaws,Pope,4.71777777777778,0.0,144
